UID,站名,可借
KHH501206187,YouBike2.0_保安二南華一路,13
KHH501207001,YouBike2.0_捷運生態園區站(1號出口),41
KHH501207002,YouBike2.0_微笑公園(文奇路側),16
KHH501207003,YouBike2.0_博愛文奇路口南側,21
KHH501207004,YouBike2.0_左營分局新莊派出所,2
KHH501207005,YouBike2.0_重愛公園(文慈路側),12
KHH501207006,YouBike2.0_微笑公園(崇德路8巷口),6
KHH501207007,YouBike2.0_微笑公園(新庄仔路545巷口),1
KHH501207008,YouBike2.0_榮德公園,3
KHH501207009,YouBike2.0_福山國小,12
KHH501207010,YouBike2.0_華夏西北扶輪公園(重愛路側),13
KHH501207011,YouBike2.0_文藻外語大學正門,15
KHH501207012,YouBike2.0_博愛重立路口南側,10
KHH501207013,YouBike2.0_重仁兒童遊戲場(重仁路50巷口),20
KHH501207014,YouBike2.0_幸福公園(高鐵路側),18
KHH501207015,YouBike2.0_博愛明誠路口東南側,7
KHH501207016,YouBike2.0_龍華國中(靠近自由二路6巷口),0
KHH501207017,YouBike2.0_明誠自由路口(路口三處),14
KHH501207018,YouBike2.0_光興裕誠路口東南側,2
KHH501207019,YouBike2.0_裕誠裕誠472巷口(東西2側),17
KHH501207020,YouBike2.0_裕誠富國路口(路口二處),7
KHH501207021,YouBike2.0_自由自由三路101巷口西北側,3
KHH501207022,YouBike2.0_微笑公園(天祥二路側),8
KHH501207023,YouBike2.0_福山廣場(博愛四路側),12
KHH501207024,YouBike2.0_重平兒童遊戲場,9
KHH501207025,YouBike2.0_自由二路6巷至聖路口東側,9
KHH501207026,YouBike2.0_原生植物園(靠高鐵路側),9
KHH501207027,YouBike2.0_舊城國小(蓮潭路側),5
KHH501207028,YouBike2.0_捷運巨蛋站(5號出口),25
KHH501207029,YouBike2.0_福山公園(榮佑路側),27
KHH501207030,YouBike2.0_捷運生態園區站(2號出口),49
KHH501207031,YouBike2.0_裕誠富民路口東北側,14
KHH501207032,YouBike2.0_大義國中(城峰路側),16
KHH501207033,YouBike2.0_新莊華夏路口北側,13
KHH501207034,YouBike2.0_三民家商(南屏路側),14
KHH501207035,YouBike2.0_三民家商(裕誠路側),24
KHH501207036,YouBike2.0_博愛明華路口東北側,3
KHH501207037,YouBike2.0_文萊崇德路口西北側,9
KHH501207038,YouBike2.0_左營忠信路8巷口西側,0
KHH501207039,YouBike2.0_左營左營大路6巷口西側,17
KHH501207040,YouBike2.0_軍校海功路口西側,12
KHH501207041,YouBike2.0_崇德政德路口,47
KHH501207042,YouBike2.0_左營區公所,17
KHH501207043,YouBike2.0_明潭蓮潭路口東側,13
KHH501207044,YouBike2.0_明誠富民路口(路口四處),9
KHH501207045,YouBike2.0_勝利國小(南屏路側),22
KHH501207046,YouBike2.0_捷運巨蛋站(4號出口),17
KHH501207047,YouBike2.0_果貿公有市場西側,10
KHH501207048,YouBike2.0_華夏兒童遊戲場(華夏路側),20
KHH501207049,YouBike2.0_捷運凹子底站(3號出口),18
KHH501207050,YouBike2.0_明誠富國路口東北側,6
KHH501207051,YouBike2.0_西門遺址公園,39
KHH501207052,YouBike2.0_新光國小(華夏路側),18
KHH501207054,YouBike2.0_左營(舊城)車站,0
KHH501207056,YouBike2.0_果峰中華一路口,37
KHH501207057,YouBike2.0_翠峰果峰街12巷口東側,0
KHH501207058,YouBike2.0_蓮池潭兒童公園南區停車場,9
KHH501207059,YouBike2.0_高鐵重信路口東側,18
KHH501207060,YouBike2.0_捷運巨蛋站(3號出口),41
KHH501207061,YouBike2.0_蓮池潭(高雄物產館),16
KHH501207062,YouBike2.0_辛亥公有停車場,18
KHH501207063,YouBike2.0_河堤公園(明誠二路側),39
KHH501207064,YouBike2.0_左營國小,27
KHH501207065,YouBike2.0_捷運世運站(1號出口),20
KHH501207066,YouBike2.0_世運主場館,27
KHH501207067,YouBike2.0_左營高中,26
KHH501207068,YouBike2.0_高鐵左營站,26
KHH501207069,YouBike2.0_孔營蓮潭路口,28
KHH501207070,YouBike2.0_龍虎塔,14
KHH501207071,YouBike2.0_福山廣場(文川路側),23
KHH501207072,YouBike2.0_臺鐵新左營站,0
KHH501207074,YouBike2.0_榮耀兒童公園,30
KHH501207075,YouBike2.0_自由黃昏市場,2
KHH501207076,YouBike2.0_新光國小(曾子路側),18
KHH501207077,YouBike2.0_新莊高中,42
KHH501207078,YouBike2.0_海青工商,0
KHH501207079,YouBike2.0_合群新城(緯九海景街口),13
KHH501207080,YouBike2.0_富國公園,6
KHH501207081,YouBike2.0_明德國小,7
KHH501207082,YouBike2.0_新民國小,14
KHH501207084,YouBike2.0_福山國中,0
KHH501207085,YouBike2.0_新莊國小,20
KHH501207086,YouBike2.0_文府國中,30
KHH501207087,YouBike2.0_龍華國中(大順一路),28
KHH501207088,YouBike2.0_介壽先鋒路口東南側,0
KHH501207089,YouBike2.0_華夏西北扶輪公園(華夏路側),2
KHH501207090,YouBike2.0_屏山國小,9
KHH501207091,YouBike2.0_大義國中(翠華路側),16
KHH501207092,YouBike2.0_微笑公園(博愛三路50巷口),18
KHH501207093,YouBike2.0_龍華市場(忠言路側),12
KHH501207094,YouBike2.0_文學公園(華夏路側),7
KHH501207095,YouBike2.0_榮光公有停車場,8
KHH501207096,YouBike2.0_文學公園(文學路),11
KHH501207098,YouBike2.0_民族霞海路口,2
KHH501207099,YouBike2.0_博愛重和路口(路口兩處),15
KHH501207100,YouBike2.0_博愛扶輪公園(博愛四路側),13
KHH501207101,YouBike2.0_新民國小(重立路232巷口),7
KHH501207102,YouBike2.0_新民國小(重立路),11
KHH501207103,YouBike2.0_崇實自助社區活動中心,0
KHH501207104,YouBike2.0_自勉公園,7
KHH501207105,YouBike2.0_臺鐵新左營站(站前一街東北側),18
KHH501207106,YouBike2.0_合群新城(海景街),7
KHH501207107,YouBike2.0_合群新城義區(海景街),9
KHH501207108,YouBike2.0_半屏山登山南側步道入口,0
KHH501207109,YouBike2.0_博愛四重仁路口,12
KHH501207110,YouBike2.0_富民太原街口,9
KHH501207111,YouBike2.0_實踐海景街口,11
KHH501207112,YouBike2.0_海功海富路口,10
KHH501207113,YouBike2.0_崇德翠華路口,12
KHH501207114,YouBike2.0_華榮翠華路口,7
KHH501207115,YouBike2.0_菜公公園,20
KHH501207116,YouBike2.0_富國公園(安吉街),7
KHH501207117,YouBike2.0_新莊翠華路口,22
KHH501207118,YouBike2.0_介壽先勝路口,0
KHH501207119,YouBike2.0_新庄仔博愛二路口(東南側),22
KHH501207120,YouBike2.0_蓮潭滑水樂園,10
KHH501207121,YouBike2.0_新莊一文上路口,9
KHH501207122,YouBike2.0_博愛公園(立大路側),16
KHH501207123,YouBike2.0_華夏民族一路口,8
KHH501207124,YouBike2.0_龍德新大順一路口,22
KHH501207125,YouBike2.0_博愛大順一路口(東北側),21
KHH501207126,YouBike2.0_高鐵大中二路口,8
KHH501207127,YouBike2.0_華夏重文街口,15
KHH501207128,YouBike2.0_新莊一新榮街口,6
KHH501207129,YouBike2.0_立中文康路口,9
KHH501207130,YouBike2.0_博愛大中二路口,9
KHH501207132,YouBike2.0_國家運動訓練中心大門,10
KHH501207133,YouBike2.0_華夏南屏路(路口四處),8
KHH501207134,YouBike2.0_新莊華夏路口東南側,12
KHH501207135,YouBike2.0_文府國小(高鐵路),10
KHH501207136,YouBike2.0_微笑公園(文奇路110巷),11
KHH501207138,YouBike2.0_左營舊城派出所,7
KHH501207139,YouBike2.0_華夏重惠街口,10
KHH501207140,YouBike2.0_蓮潭水域運動中心,11
KHH501207141,YouBike2.0_至聖富國路口,13
KHH501207142,YouBike2.0_文川重立路782巷口,14
KHH501207143,YouBike2.0_海平海平路28巷(東北側),7
KHH501207144,YouBike2.0_左營綠園道(文智路),10
KHH501207145,YouBike2.0_軍校和光街24巷口,8
KHH501207146,YouBike2.0_南屏南屏路249巷口,9
KHH501208001,YouBike2.0_時代大道中華路口(西北側),3
KHH501208002,YouBike2.0_捷運凱旋站(3號出口),27
KHH501208003,YouBike2.0_捷運凱旋站(2號出口),23
KHH501208004,YouBike2.0_前鎮地政事務所,10
KHH501208005,YouBike2.0_同安德昌路口,11
KHH501208006,YouBike2.0_前鎮國中(草衙一路),10
KHH501208007,YouBike2.0_捷運草衙站(4號出口),37
KHH501208008,YouBike2.0_港壽崇安街口,8
KHH501208009,YouBike2.0_后安停車場,16
KHH501208010,YouBike2.0_紅毛港國小,9
KHH501208011,YouBike2.0_新光自強路口,14
KHH501208012,YouBike2.0_民裕鄭和南路口(西南側),18
KHH501208013,YouBike2.0_捷運獅甲站(4號出口),23
KHH501208014,YouBike2.0_捷運獅甲站(3號出口),16
KHH501208015,YouBike2.0_前鎮西甲敬老亭,2
KHH501208016,YouBike2.0_中正高工(汕頭街口),18
KHH501208017,YouBike2.0_崗山仔公園,10
KHH501208018,YouBike2.0_高雄廣澤郵局,8
KHH501208019,YouBike2.0_25號綠地公園,9
KHH501208020,YouBike2.0_中正高工(黃埔街口),16
KHH501208021,YouBike2.0_台鋁廣場,16
KHH501208022,YouBike2.0_瑞北停車場,5
KHH501208023,YouBike2.0_瑞祥高中,30
KHH501208024,YouBike2.0_高雄市勞工局,20
KHH501208026,YouBike2.0_前鎮區公所,16
KHH501208027,YouBike2.0_中華復興路口(西南側),30
KHH501208028,YouBike2.0_管仲沱江街口,9
KHH501208029,YouBike2.0_獅甲社區(興仁國中棒球場),16
KHH501208030,YouBike2.0_捷運獅甲站(2號出口),22
KHH501208031,YouBike2.0_中山時代大道口(西北角),19
KHH501208032,YouBike2.0_新光成功路口,27
KHH501208033,YouBike2.0_光華公園,33
KHH501208034,YouBike2.0_夢時代購物中心,13
KHH501208035,YouBike2.0_捷運草衙站(1號出口),23
KHH501208036,YouBike2.0_佛公國小,0
KHH501208037,YouBike2.0_高雄市漁民服務中心,16
KHH501208038,YouBike2.0_捷運前鎮高中站(1號出口),24
KHH501208039,YouBike2.0_原住民故事館,8
KHH501208040,YouBike2.0_中四中一路口,19
KHH501208041,YouBike2.0_中鋼會館,14
KHH501208042,YouBike2.0_朝陽寺,10
KHH501208043,YouBike2.0_前鎮國中,10
KHH501208044,YouBike2.0_五甲公園,17
KHH501208045,YouBike2.0_台鋁廣場(成功二路),26
KHH501208046,YouBike2.0_管仲民裕路口,6
KHH501208047,YouBike2.0_瑞祥高中(凱旋四路),30
KHH501208048,YouBike2.0_民權少康街口,9
KHH501208049,YouBike2.0_興仁國中,12
KHH501208050,YouBike2.0_瑞豐國中,6
KHH501208051,YouBike2.0_輕軌軟體園區站,35
KHH501208052,YouBike2.0_輕軌凱旋中華站,1
KHH501208053,YouBike2.0_新光中山路口,1
KHH501208054,YouBike2.0_中華忠勤路口,20
KHH501208055,YouBike2.0_班超公園,20
KHH501208056,YouBike2.0_二聖公園,20
KHH501208057,YouBike2.0_高雄市政府消防局,24
KHH501208058,YouBike2.0_聖和公園,8
KHH501208059,YouBike2.0_高雄市圖書館總館,24
KHH501208060,YouBike2.0_瑞豐公車總站,9
KHH501208061,YouBike2.0_輕軌凱旋瑞田站,21
KHH501208062,YouBike2.0_輕軌前鎮之星站,22
KHH501208063,YouBike2.0_前鎮民權公園,8
KHH501208064,YouBike2.0_北一路西十一街口,17
KHH501208065,YouBike2.0_高雄加工出口區員工宿舍(車站後街),23
KHH501208066,YouBike2.0_臨加東臨加北路口,13
KHH501208067,YouBike2.0_新正薪醫院,9
KHH501208068,YouBike2.0_前鎮高中(樹人路側),7
KHH501208069,YouBike2.0_康定康定路166巷口,6
KHH501208070,YouBike2.0_漁港草衙二路口,16
KHH501208071,YouBike2.0_國慶明龍街口,2
KHH501208072,YouBike2.0_前鎮圖書館,12
KHH501208073,YouBike2.0_一心和平二路口,19
KHH501208074,YouBike2.0_瑞福路公共停車場,6
KHH501208075,YouBike2.0_英德街公有民營停車場,1
KHH501208076,YouBike2.0_光華國中(和平二路),6
KHH501208077,YouBike2.0_獅甲社區,5
KHH501208078,YouBike2.0_正勤停車場,22
KHH501208079,YouBike2.0_成功特殊教育學校,22
KHH501208080,YouBike2.0_輕軌機廠站,8
KHH501208081,YouBike2.0_輕軌凱旋二聖站,11
KHH501208082,YouBike2.0_林森中華五路口,7
KHH501208083,YouBike2.0_環區一環區四路口,9
KHH501208084,YouBike2.0_瑞崗兒童遊戲場,4
KHH501208085,YouBike2.0_獅甲公園,12
KHH501208086,YouBike2.0_前鎮民權公園(北側),15
KHH501208087,YouBike2.0_捷運三多商圈站(3號出口),31
KHH501208088,YouBike2.0_凱旋一心一路口,20
KHH501208089,YouBike2.0_西山兒童遊戲場,20
KHH501208090,YouBike2.0_凱興凱旺街口,9
KHH501208091,YouBike2.0_高雄軟體園區,42
KHH501208092,YouBike2.0_三多桂林街口,8
KHH501208093,YouBike2.0_鎮東公園,14
KHH501208094,YouBike2.0_育群兒童遊戲場,10
KHH501208095,YouBike2.0_勞工公園,21
KHH501208096,YouBike2.0_廣西梧州街口,1
KHH501208097,YouBike2.0_樂群國小,23
KHH501208098,YouBike2.0_高雄捷運股份有限公司,4
KHH501208099,YouBike2.0_中華中華五路939巷口,8
KHH501208100,YouBike2.0_興東公園,16
KHH501208101,YouBike2.0_漁業廣播電台,6
KHH501208102,YouBike2.0_時代大道時代南二路口,12
KHH501208103,YouBike2.0_瑞南公園(瑞南街),8
KHH501208104,YouBike2.0_文小九公園(鎮東五街),8
KHH501208105,YouBike2.0_興仁公園(興旺路),20
KHH501208106,YouBike2.0_民瑞中山三路口,15
KHH501208107,YouBike2.0_光華鄭和南路口,11
KHH501208108,YouBike2.0_籬仔內公園,17
KHH501208109,YouBike2.0_翠亨北漁港路口,10
KHH501208110,YouBike2.0_瑞祥高中(忠誠路),20
KHH501208111,YouBike2.0_修文一心二路口,10
KHH501208112,YouBike2.0_漁港南一興漁三路口,18
KHH501208113,YouBike2.0_環區一南二路口,11
KHH501208114,YouBike2.0_環區四南二路口,16
KHH501208115,YouBike2.0_臨海工業區前鎮園區公園,8
KHH501208116,YouBike2.0_鎮興鎮昌五巷口,3
KHH501208117,YouBike2.0_瑞和兒童遊戲場,6
KHH501208118,YouBike2.0_允棟公園,0
KHH501208119,YouBike2.0_漁港德昌路口,4
KHH501208121,YouBike2.0_明正公園,5
KHH501208122,YouBike2.0_鎮華鎮洲路口,14
KHH501208123,YouBike2.0_捷運草衙站(2號出口),17
KHH501208124,YouBike2.0_瑞興兒童遊戲場,3
KHH501208125,YouBike2.0_新明德西社區公園,7
KHH501208127,YouBike2.0_明鳳三號公園,14
KHH501208128,YouBike2.0_新生臨水南路(南側),16
KHH501208129,YouBike2.0_高雄展覽館,21
KHH501209001,YouBike2.0_捷運巨蛋站(2號出口),38
KHH501209002,YouBike2.0_龍華國小,8
KHH501209003,YouBike2.0_明誠馬卡道路口(東南側),11
KHH501209004,YouBike2.0_明誠裕國街口,6
KHH501209005,YouBike2.0_博愛大順路口,15
KHH501209006,YouBike2.0_小鹿公園,19
KHH501209007,YouBike2.0_民康兒童公園,10
KHH501209008,YouBike2.0_捷運凹子底站(4號出口),85
KHH501209009,YouBike2.0_美術東四美術北五街口(北側),0
KHH501209010,YouBike2.0_內惟公園(新疆路側),13
KHH501209011,YouBike2.0_凹子底森林公園(龍德路側),22
KHH501209012,YouBike2.0_凹子底森林公園(明誠三路側),16
KHH501209013,YouBike2.0_華榮慶豐路口,11
KHH501209014,YouBike2.0_中華一路161巷口,9
KHH501209015,YouBike2.0_逢甲翠華路397巷口(東南側),6
KHH501209016,YouBike2.0_青海美術東二路口(西北側),15
KHH501209017,YouBike2.0_美術東四美術東七街口(東北側),9
KHH501209018,YouBike2.0_美術東二明誠路口(西南側),7
KHH501209019,YouBike2.0_皮克尼克公園,21
KHH501209020,YouBike2.0_鼓山高中,31
KHH501209021,YouBike2.0_青海九如路口(東北側),10
KHH501209022,YouBike2.0_哨船安海街口(東側),8
KHH501209023,YouBike2.0_捷運哈瑪星站(2號出口),9
KHH501209024,YouBike2.0_濱海臨海路口(西南側),22
KHH501209025,YouBike2.0_哨船頭公園,6
KHH501209026,YouBike2.0_捷運哈瑪星站(1號出口),1
KHH501209027,YouBike2.0_中華藝校(美術東一路),18
KHH501209028,YouBike2.0_鼓山分局新濱派出所,17
KHH501209029,YouBike2.0_華榮公園,22
KHH501209030,YouBike2.0_凹子底森林公園(神農路),6
KHH501209031,YouBike2.0_凹子底森林公園(至聖路),24
KHH501209032,YouBike2.0_西子灣風景區,20
KHH501209033,YouBike2.0_南屏大順路口,19
KHH501209034,YouBike2.0_青海鼓山路口,6
KHH501209035,YouBike2.0_哈瑪星鐵道文化園區(臨海新路),25
KHH501209036,YouBike2.0_一號船渠景觀橋,15
KHH501209037,YouBike2.0_願景橋,24
KHH501209038,YouBike2.0_雄峰公園,5
KHH501209039,YouBike2.0_中山大學社科院,29
KHH501209040,YouBike2.0_中山大學海工館,26
KHH501209041,YouBike2.0_明誠高中(華寧路),14
KHH501209042,YouBike2.0_鼓山國小(臨海二路),9
KHH501209043,YouBike2.0_龍勝大順路口,6
KHH501209044,YouBike2.0_厚泰公有停車場西側,7
KHH501209045,YouBike2.0_鼓山鼓山一路119巷口,8
KHH501209046,YouBike2.0_台鐵美術館車站,22
KHH501209047,YouBike2.0_富農龍勝路口,4
KHH501209048,YouBike2.0_明誠高中(中華一路),25
KHH501209049,YouBike2.0_輕軌內惟藝術中心,20
KHH501209050,YouBike2.0_中華一路828號南側,0
KHH501209051,YouBike2.0_中山大學工學院,23
KHH501209052,YouBike2.0_中山大學圖資大樓,22
KHH501209053,YouBike2.0_中華美術北三路口北側,11
KHH501209054,YouBike2.0_中山大學材料大樓,27
KHH501209055,YouBike2.0_裕興華泰路185巷口,1
KHH501209056,YouBike2.0_裕誠美術館路口,3
KHH501209057,YouBike2.0_鼓山區戶政事務所第二辦公處,0
KHH501209058,YouBike2.0_裕誠富農路口,3
KHH501209059,YouBike2.0_南屏神農路口,14
KHH501209060,YouBike2.0_西藏翠華路口,20
KHH501209061,YouBike2.0_中華郵政前峰郵局,8
KHH501209062,YouBike2.0_鼓山國小(登山街),6
KHH501209063,YouBike2.0_明華國中(南屏路),9
KHH501209064,YouBike2.0_雄峰公園(鼓山三路),4
KHH501209065,YouBike2.0_河邊興隆路口,2
KHH501209066,YouBike2.0_美術東二美術北三路口,2
KHH501209067,YouBike2.0_綠川河川街口,3
KHH501209068,YouBike2.0_翠華日昌路口,16
KHH501209069,YouBike2.0_中山大學體育館,62
KHH501209070,YouBike2.0_中山大學西灣藝廊,14
KHH501209071,YouBike2.0_中山大學海資館,15
KHH501209072,YouBike2.0_龍德新自由一路口,2
KHH501209073,YouBike2.0_青海公園,6
KHH501209074,YouBike2.0_輕軌馬卡道站,9
KHH501209075,YouBike2.0_內惟國小(鼓山三路),7
KHH501209076,YouBike2.0_高雄市立圖書館鼓山分館,19
KHH501209077,YouBike2.0_前峰兒童遊戲場,7
KHH501209078,YouBike2.0_中華一青海路口,7
KHH501209079,YouBike2.0_內惟車站(翠華路),20
KHH501209080,YouBike2.0_內惟車站(馬卡道路),17
KHH501209081,YouBike2.0_翠華葆楨路口,7
KHH501209082,YouBike2.0_鼓山三路桃子園路,18
KHH501209083,YouBike2.0_中華翠華路口,18
KHH501209084,YouBike2.0_美術北三馬卡道路口,18
KHH501209085,YouBike2.0_鼓山車站,9
KHH501209086,YouBike2.0_龍德新新順路口,4
KHH501209087,YouBike2.0_七賢國中(美術東四路),38
KHH501209088,YouBike2.0_壽山國中,13
KHH501209089,YouBike2.0_棧貳庫,17
KHH501209090,YouBike2.0_富農龍德路口,9
KHH501209091,YouBike2.0_美術東四美術東一路口,12
KHH501209092,YouBike2.0_內惟公園(九如四路側),6
KHH501209093,YouBike2.0_大榮高中,15
KHH501209094,YouBike2.0_青海美術東四路口,9
KHH501209095,YouBike2.0_中華美明路口,12
KHH501209096,YouBike2.0_鼓山鼓山三路209巷口,7
KHH501209097,YouBike2.0_鼓山鼓山三路153巷口,7
KHH501209098,YouBike2.0_壽山動物園停車場,3
KHH501209099,YouBike2.0_大港倉,13
KHH501209100,YouBike2.0_鼓山鼓山三路101巷口,6
KHH501209101,YouBike2.0_翠華九如四路口,10
KHH501209102,YouBike2.0_河西龍水一街口,10
KHH501209103,YouBike2.0_裕誠民利街口,1
KHH501209104,YouBike2.0_新濱町海洋廚房,3
KHH501209105,YouBike2.0_美術南二美術南三路,17
KHH501210001,YouBike2.0_捷運世運站(2號出口),12
KHH501210002,YouBike2.0_捷運油廠國小站(2號出口),29
KHH501210003,YouBike2.0_歡樂17停車場,0
KHH501210004,YouBike2.0_七號公園(加昌路側),7
KHH501210005,YouBike2.0_加昌兒童遊戲場,5
KHH501210006,YouBike2.0_大學西路口(第一綜合大樓),19
KHH501210007,YouBike2.0_藍田公園(高雄大學路側),8
KHH501210008,YouBike2.0_土庫清豐二路口東北側,23
KHH501210009,YouBike2.0_楠梓國小,13
KHH501210010,YouBike2.0_楠梓區公所,10
KHH501210011,YouBike2.0_楠陽國小,13
KHH501210012,YouBike2.0_高雄少年及家事法院,13
KHH501210013,YouBike2.0_惠民里集會所,12
KHH501210014,YouBike2.0_惠民公有停車場,1
KHH501210015,YouBike2.0_仁昌里公園,8
KHH501210016,YouBike2.0_德民藍昌路口東側,6
KHH501210017,YouBike2.0_加昌國小(智群路側),11
KHH501210018,YouBike2.0_榮新加昌路口南側,0
KHH501210019,YouBike2.0_捷運都會公園站(3號出口),15
KHH501210020,YouBike2.0_高雄都會公園(德民路側),5
KHH501210021,YouBike2.0_後勁公園,34
KHH501210022,YouBike2.0_楠梓和平公園,13
KHH501210023,YouBike2.0_捷運楠梓科技園區站(2號出口),16
KHH501210024,YouBike2.0_翠屏里活動中心(德賢路530巷口),20
KHH501210025,YouBike2.0_普同精舍,18
KHH501210026,YouBike2.0_德民路356巷德賢路口西北側,5
KHH501210027,YouBike2.0_楠梓高中,52
KHH501210028,YouBike2.0_清豐公園,6
KHH501210029,YouBike2.0_清豐公有停車場,6
KHH501210030,YouBike2.0_幸福新城,14
KHH501210031,YouBike2.0_秀群加宏路口東側,5
KHH501210032,YouBike2.0_右昌元帥府,1
KHH501210033,YouBike2.0_右昌國中,27
KHH501210034,YouBike2.0_捷運楠梓科技園區站(1號出口),2
KHH501210035,YouBike2.0_加昌國小,15
KHH501210036,YouBike2.0_捷運都會公園站(4號出口),18
KHH501210037,YouBike2.0_國立高雄科技大學第一校區,19
KHH501210038,YouBike2.0_高雄市立圖書館右昌分館,0
KHH501210039,YouBike2.0_高雄大學,29
KHH501210040,YouBike2.0_市立中山高級中學(藍田路側),51
KHH501210041,YouBike2.0_高雄市區監理所,12
KHH501210042,YouBike2.0_德賢德惠路口西北側,6
KHH501210043,YouBike2.0_捷運後勁站(1號出口),14
KHH501210044,YouBike2.0_臺灣高雄少年及家事法院(常順街),6
KHH501210045,YouBike2.0_清豐土庫路口,12
KHH501210046,YouBike2.0_七號公園(加宏路側),14
KHH501210047,YouBike2.0_國昌國中,20
KHH501210048,YouBike2.0_捷運油廠國小站(1號出口),18
KHH501210049,YouBike2.0_翠屏兒童遊戲場,2
KHH501210050,YouBike2.0_楠梓車站,20
KHH501210051,YouBike2.0_高雄大學理學院南側,9
KHH501210052,YouBike2.0_高雄大學社科院西側,13
KHH501210053,YouBike2.0_高雄大學第一宿舍東側,45
KHH501210054,YouBike2.0_高雄大學(大學西路側),62
KHH501210055,YouBike2.0_楠梓區九號公園,0
KHH501210056,YouBike2.0_益群橋東南側,9
KHH501210057,YouBike2.0_榮新公園西南側,7
KHH501210058,YouBike2.0_樂活公園(大學二十六街),8
KHH501210059,YouBike2.0_大學二十一路公園,5
KHH501210060,YouBike2.0_外環西加昌路口,8
KHH501210061,YouBike2.0_外環西創意南路口,11
KHH501210062,YouBike2.0_創新公園,13
KHH501210063,YouBike2.0_立民公有停車場,14
KHH501210064,YouBike2.0_高雄市立圖書館楠仔坑分館,16
KHH501210065,YouBike2.0_清福公園,0
KHH501210066,YouBike2.0_楠梓游泳池,14
KHH501210067,YouBike2.0_新建南新開發路口,30
KHH501210068,YouBike2.0_中央開發路口,5
KHH501210069,YouBike2.0_經六開發路口,9
KHH501210070,YouBike2.0_研發創意北路口,20
KHH501210071,YouBike2.0_中央中三街口,17
KHH501210072,YouBike2.0_國昌里公園,9
KHH501210073,YouBike2.0_世運大道,6
KHH501210074,YouBike2.0_德富德富街286巷口,13
KHH501210075,YouBike2.0_楠梓路1巷楠梓路口,1
KHH501210076,YouBike2.0_芎蕉公園,10
KHH501210077,YouBike2.0_大學三十二街公園,3
KHH501210078,YouBike2.0_大學西大學十街口,0
KHH501210079,YouBike2.0_高雄科大第一西校區游泳池,9
KHH501210080,YouBike2.0_高雄科大第一東校區財金學院,15
KHH501210083,YouBike2.0_右昌國小(後昌路),14
KHH501210084,YouBike2.0_右昌森林公園(後昌新路58巷),12
KHH501210085,YouBike2.0_下鹽田三欉榕公園(大學十一街),12
KHH501210086,YouBike2.0_援中德中路口(西南側),0
KHH501210087,YouBike2.0_盛泰公園,0
KHH501210088,YouBike2.0_高雄大學管理學院,34
KHH501210089,YouBike2.0_高雄大學(大學南路側),1
KHH501210090,YouBike2.0_鳳楠經建路口,11
KHH501210091,YouBike2.0_大昌無菸公園,8
KHH501210092,YouBike2.0_廣昌公園,13
KHH501210093,YouBike2.0_楠梓特殊學校,12
KHH501210094,YouBike2.0_創新芎林一街口,9
KHH501210095,YouBike2.0_高雄大學行政大樓,16
KHH501210096,YouBike2.0_援中港濕地公園,9
KHH501210097,YouBike2.0_中和兒童公園,11
KHH501210098,YouBike2.0_宏昌兒童遊戲場(加宏路191巷),4
KHH501210099,YouBike2.0_惠智惠勇街口,5
KHH501210100,YouBike2.0_大學援中路68巷口,7
KHH501210101,YouBike2.0_愛國超市(德賢店),1
KHH501210102,YouBike2.0_高雄大學活動中心,17
KHH501210103,YouBike2.0_金富金和街口,4
KHH501210104,YouBike2.0_經一東三街口,9
KHH501210105,YouBike2.0_莒光國小(後昌路782巷),9
KHH501210106,YouBike2.0_楠梓文中足球場,6
KHH501210107,YouBike2.0_楠梓國中,19
KHH501210108,YouBike2.0_土庫公園,8
KHH501210109,YouBike2.0_都會公園停車場(德民路),7
KHH501210110,YouBike2.0_惠義惠心街口,10
KHH501210111,YouBike2.0_援中大學十七街口,3
KHH501210112,YouBike2.0_中山高級中學(藍昌路側),28
KHH501210113,YouBike2.0_內環南經五路口,5
KHH501210114,YouBike2.0_經四開發路口,6
KHH501210115,YouBike2.0_中三經五路口,16
KHH501210116,YouBike2.0_後勁鳳屏宮,6
KHH501210117,YouBike2.0_新經一東六街口,14
KHH501210118,YouBike2.0_惠正惠誠街口,18
KHH501210119,YouBike2.0_捷運油廠國小(4號出口),42
KHH501210120,YouBike2.0_後勁宿舍(後昌路),37
KHH501210121,YouBike2.0_樂群秀群路457巷口,2
KHH501210122,YouBike2.0_國昌國中(智昌街),17
KHH501210123,YouBike2.0_經三中二街口,12
KHH501210124,YouBike2.0_楠梓高中(土庫六路側),15
KHH501210125,YouBike2.0_高楠惠心街口,21
KHH501210126,YouBike2.0_廣昌廣昌街175巷口,3
KHH501210127,YouBike2.0_卓越芎蕉二街口,12
KHH501210128,YouBike2.0_健仁醫院,15
KHH501210129,YouBike2.0_援中大學東路口,0
KHH501210130,YouBike2.0_土庫土庫八街385巷口(西北側),7
KHH501210131,YouBike2.0_惠勇三角公園(南側),15
KHH501210132,YouBike2.0_海專瑞屏路82巷口(南側),9
KHH501210133,YouBike2.0_新昌新昌街40巷口,5
KHH501210134,YouBike2.0_後昌兒童遊戲場,4
KHH501210135,YouBike2.0_青埔溝生態童玩公園,9
KHH501210136,YouBike2.0_海專德民路口(西北側),14
KHH501210137,YouBike2.0_芎林七芎蕉五街(南側),13
