UID,站名,可借
KHH501202089,YouBike2.0_輕軌旅運中心站(海邊路),28
KHH501202090,YouBike2.0_三多公有停車場,18
KHH501202091,YouBike2.0_凱旋青樹,12
KHH501202093,YouBike2.0_三多二光華一路口,8
KHH501202094,YouBike2.0_正憲公有停車場,10
KHH501202095,YouBike2.0_和平三多二路口,7
KHH501202096,YouBike2.0_苓南前苓安路口,10
KHH501202097,YouBike2.0_四維光華一路口,15
KHH501202098,YouBike2.0_武廟建國一路口231巷口,15
KHH501203001,YouBike2.0_建國同愛街口西北側,0
KHH501203002,YouBike2.0_市立高雄高級中學,17
KHH501203003,YouBike2.0_高雄車站(西南側),87
KHH501203005,YouBike2.0_河濱國小,16
KHH501203006,YouBike2.0_河東路建國三路口,4
KHH501203007,YouBike2.0_中華遼北街口,6
KHH501203008,YouBike2.0_建國錦田路口西北側,9
KHH501203009,YouBike2.0_凱歌憲政路口,11
KHH501203010,YouBike2.0_遼寧哈爾濱街口,0
KHH501203011,YouBike2.0_文興公園,11
KHH501203012,YouBike2.0_三民國小,9
KHH501203013,YouBike2.0_三塊厝車站,14
KHH501203014,YouBike2.0_堯山延慶街口,1
KHH501203015,YouBike2.0_山東承德街口,6
KHH501203016,YouBike2.0_國立科學工藝博物館,6
KHH501203017,YouBike2.0_高雄醫學大學,67
KHH501203018,YouBike2.0_民族九如路口,13
KHH501203019,YouBike2.0_十全民族路口,12
KHH501203020,YouBike2.0_捷運後驛站(1號出口北側),20
KHH501203021,YouBike2.0_義德公園,13
KHH501203022,YouBike2.0_三民公園南側,9
KHH501203023,YouBike2.0_捷運後驛站(3號出口),17
KHH501203024,YouBike2.0_正興國小,10
KHH501203025,YouBike2.0_高雄科技大學東北側,51
KHH501203026,YouBike2.0_鼎中路199巷口,13
KHH501203027,YouBike2.0_大裕昌富街口,9
KHH501203028,YouBike2.0_捷運後驛站(1號出口南側),24
KHH501203029,YouBike2.0_建民公園,23
KHH501203030,YouBike2.0_三民高中東側,23
KHH501203031,YouBike2.0_鼎金國民中學,12
KHH501203032,YouBike2.0_獅湖國小,16
KHH501203033,YouBike2.0_鼎泰廣場公園,19
KHH501203034,YouBike2.0_陽明網球中心,23
KHH501203035,YouBike2.0_寶華兒童公園,14
KHH501203036,YouBike2.0_大順九如路口,16
KHH501203037,YouBike2.0_高雄市立正興國民中學,27
KHH501203038,YouBike2.0_高雄市立民族國民中學西北側,0
KHH501203039,YouBike2.0_皓東路17巷口,14
KHH501203040,YouBike2.0_博愛九如二路(東北側),22
KHH501203041,YouBike2.0_民族一路543巷口,15
KHH501203042,YouBike2.0_褒揚廣場,13
KHH501203043,YouBike2.0_三民高中西側,43
KHH501203044,YouBike2.0_明誠聯興路口,14
KHH501203045,YouBike2.0_熱河自由路口,7
KHH501203046,YouBike2.0_民族大昌路口,8
KHH501203047,YouBike2.0_民族車站,13
KHH501203048,YouBike2.0_正興公有停車場,9
KHH501203049,YouBike2.0_大昌春陽街口,23
KHH501203050,YouBike2.0_捷運後驛站(2號出口),10
KHH501203051,YouBike2.0_博愛同盟路口,16
KHH501203052,YouBike2.0_科工館,23
KHH501203053,YouBike2.0_高雄中學(東側),23
KHH501203054,YouBike2.0_客家文物館,9
KHH501203055,YouBike2.0_金獅湖,5
KHH501203056,YouBike2.0_文藻外語大學,17
KHH501203057,YouBike2.0_莊敬公園,20
KHH501203058,YouBike2.0_高雄高工,0
KHH501203059,YouBike2.0_鼎金國小,9
KHH501203060,YouBike2.0_寶業里滯洪池,21
KHH501203061,YouBike2.0_義民廟,10
KHH501203062,YouBike2.0_正義公園,16
KHH501203063,YouBike2.0_鼎山大順路口,8
KHH501203064,YouBike2.0_同盟博愛路口,2
KHH501203065,YouBike2.0_三民游泳池,12
KHH501203066,YouBike2.0_河堤南自由路口,1
KHH501203067,YouBike2.0_陽明公園,10
KHH501203068,YouBike2.0_金獅湖橋,8
KHH501203069,YouBike2.0_光武國小,16
KHH501203070,YouBike2.0_美都公園,6
KHH501203073,YouBike2.0_河東河北路口,22
KHH501203074,YouBike2.0_明堤公園,7
KHH501203075,YouBike2.0_陽明溜冰場,0
KHH501203076,YouBike2.0_精華公園,0
KHH501203077,YouBike2.0_檨仔林埤濕地公園,8
KHH501203078,YouBike2.0_河北立德街口,7
KHH501203079,YouBike2.0_灣福兒童公園,10
KHH501203080,YouBike2.0_建國林森路口,10
KHH501203081,YouBike2.0_東光國小,13
KHH501203082,YouBike2.0_鼎泰廣場,15
KHH501203083,YouBike2.0_本安生態滯洪公園,3
KHH501203084,YouBike2.0_建國三路中庸街口,4
KHH501203085,YouBike2.0_河北二路中庸街口,5
KHH501203086,YouBike2.0_民族社區老人活動中心,14
KHH501203087,YouBike2.0_陽明義華路口,31
KHH501203088,YouBike2.0_同盟十全路口,13
KHH501203089,YouBike2.0_中華熱河三街口,8
KHH501203090,YouBike2.0_中華九如三路口,8
KHH501203091,YouBike2.0_中庸中華橫路口,8
KHH501203092,YouBike2.0_自立自立一路161巷口,11
KHH501203093,YouBike2.0_大園大和街口,20
KHH501203094,YouBike2.0_大順民族路口,8
KHH501203095,YouBike2.0_民族聯興路50巷口,16
KHH501203096,YouBike2.0_河堤明哲路口,0
KHH501203097,YouBike2.0_明誠鼎愛街口,5
KHH501203098,YouBike2.0_灣仔內兒童遊戲場,6
KHH501203099,YouBike2.0_寶德里廣場,10
KHH501203100,YouBike2.0_建國忠孝一路口,19
KHH501203101,YouBike2.0_中都聯合里民中心,0
KHH501203102,YouBike2.0_九如自立一路口,16
KHH501203103,YouBike2.0_愛國國小,17
KHH501203104,YouBike2.0_博愛熱河二街口,12
KHH501203105,YouBike2.0_九如中華二路口,8
KHH501203106,YouBike2.0_華德華德街98巷口,11
KHH501203107,YouBike2.0_三民公園(北側),11
KHH501203108,YouBike2.0_寶業滯洪公園(澄清路),0
